protein_external_id	preferred_name	protein_size	annotation
7668.SPU_009447-tr	SPU_009447-tr	126	Uncharacterized protein
7668.SPU_009448-tr	LOC574770	436	Uncharacterized protein
7668.SPU_009449-tr	SPU_009449-tr	434	Uncharacterized protein
7668.SPU_009451-tr	SPU_009451-tr	355	Uncharacterized protein
7668.SPU_009452-tr	LOC589679	278	Uncharacterized protein
7668.SPU_009453-tr	LOC591474	292	Uncharacterized protein
7668.SPU_009454-tr	SPU_009454-tr	903	Uncharacterized protein
7668.SPU_009455-tr	LOC763903	203	Uncharacterized protein
7668.SPU_009456-tr	LOC762444	306	Uncharacterized protein
7668.SPU_009457-tr	SPU_009457-tr	78	Uncharacterized protein
7668.SPU_009458-tr	SPU_009458-tr	182	Uncharacterized protein
7668.SPU_009460-tr	LOC578973	311	Uncharacterized protein
7668.SPU_009461-tr	SPU_009461-tr	827	Uncharacterized protein
7668.SPU_009462-tr	SPU_009462-tr	408	Uncharacterized protein
7668.SPU_009463-tr	LOC578090	1609	Uncharacterized protein
7668.SPU_009464-tr	SPU_009464-tr	1770	Uncharacterized protein
7668.SPU_009465-tr	LOC578414	317	Uncharacterized protein
7668.SPU_009466-tr	SPU_009466-tr	483	Uncharacterized protein
7668.SPU_009467-tr	LOC586178	303	Uncharacterized protein
7668.SPU_009468-tr	SPU_009468-tr	429	Uncharacterized protein
7668.SPU_009469-tr	LOC590422	146	Uncharacterized protein
7668.SPU_009470-tr	LOC590401	1219	Uncharacterized protein
7668.SPU_009471-tr	SPU_009471-tr	110	Uncharacterized protein
7668.SPU_009472-tr	LOC575462	427	Uncharacterized protein
7668.SPU_009473-tr	LOC765094	502	Uncharacterized protein; Belongs to the peptidase C2 family
7668.SPU_009474-tr	SPU_009474-tr	776	Uncharacterized protein
7668.SPU_009475-tr	SPU_009475-tr	386	Uncharacterized protein
7668.SPU_009476-tr	SPU_009476-tr	436	Uncharacterized protein; Belongs to the heat shock protein 70 family
7668.SPU_009477-tr	LOC574693	622	Uncharacterized protein; Belongs to the heat shock protein 70 family
7668.SPU_009478-tr	SPU_009478-tr	492	Uncharacterized protein; Belongs to the heat shock protein 70 family
7668.SPU_009479-tr	SPU_009479-tr	97	Uncharacterized protein; Belongs to the heat shock protein 70 family
7668.SPU_009480-tr	SPU_009480-tr	480	Uncharacterized protein; Belongs to the heat shock protein 70 family
7668.SPU_009481-tr	LOC373192	376	Actin, cytoskeletal 1A; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
7668.SPU_009482-tr	LOC752782	376	Actin, cytoskeletal 2A ; Belongs to the actin family
7668.SPU_009483-tr	CyI	376	Actin, cytoskeletal 2B; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
7668.SPU_009484-tr	SPU_009484-tr	188	Uncharacterized protein
7668.SPU_009485-tr	SPU_009485-tr	1194	Uncharacterized protein
7668.SPU_009486-tr	SPU_009486-tr	399	Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
7668.SPU_009487-tr	SPU_009487-tr	1535	Uncharacterized protein
7668.SPU_009488-tr	SPU_009488-tr	798	Uncharacterized protein
7668.SPU_009489-tr	SPU_009489-tr	613	Uncharacterized protein
7668.SPU_009490-tr	SPU_009490-tr	237	Uncharacterized protein
7668.SPU_009491-tr	LOC587110	270	Uncharacterized protein
7668.SPU_009492-tr	SPU_009492-tr	151	Uncharacterized protein
7668.SPU_009493-tr	SPU_009493-tr	476	Uncharacterized protein
7668.SPU_009494-tr	SPU_009494-tr	503	Uncharacterized protein
7668.SPU_009495-tr	LOC754557	299	Uncharacterized protein
7668.SPU_009496-tr	SPU_009496-tr	559	Uncharacterized protein
7668.SPU_009497-tr	SPU_009497-tr	388	Uncharacterized protein; Belongs to the peptidase C14A family
7668.SPU_009498-tr	LOC576702	352	Uncharacterized protein; Belongs to the ligand-gated ion channel (TC 1.A.9) family
7668.SPU_009499-tr	LOC757196	452	Uncharacterized protein
7668.SPU_009500-tr	SPU_009500-tr	323	Uncharacterized protein
7668.SPU_009501-tr	SPU_009501-tr	252	Uncharacterized protein
7668.SPU_009502-tr	SPU_009502-tr	175	Uncharacterized protein
7668.SPU_009503-tr	SPU_009503-tr	478	Uncharacterized protein
7668.SPU_009504-tr	SPU_009504-tr	138	Uncharacterized protein
7668.SPU_009505-tr	SPU_009505-tr	131	Uncharacterized protein
7668.SPU_009506-tr	LOC586927	186	Uncharacterized protein
7668.SPU_009507-tr	SPU_009507-tr	603	Uncharacterized protein
7668.SPU_009508-tr	SPU_009508-tr	417	Uncharacterized protein
7668.SPU_009509-tr	SPU_009509-tr	153	Uncharacterized protein
7668.SPU_009510-tr	SPU_009510-tr	424	Uncharacterized protein
7668.SPU_009511-tr	SPU_009511-tr	134	Uncharacterized protein
7668.SPU_009512-tr	LOC579303	426	Uncharacterized protein; Belongs to the cytochrome P450 family
7668.SPU_009513-tr	SPU_009513-tr	453	Uncharacterized protein
7668.SPU_009514-tr	SPU_009514-tr	41	Uncharacterized protein
7668.SPU_009515-tr	SPU_009515-tr	70	Uncharacterized protein
7668.SPU_009516-tr	SPU_009516-tr	533	Uncharacterized protein
7668.SPU_009517-tr	LOC586076	499	Uncharacterized protein
7668.SPU_009518-tr	LOC594349	325	Uncharacterized protein
7668.SPU_009519-tr	SPU_009519-tr	601	Uncharacterized protein
7668.SPU_009520-tr	SPU_009520-tr	151	Uncharacterized protein
7668.SPU_009521-tr	SPU_009521-tr	134	Uncharacterized protein; Belongs to the ubiquitin-conjugating enzyme family
7668.SPU_009522-tr	LOC590938	447	Uncharacterized protein
7668.SPU_009523-tr	SPU_009523-tr	557	Uncharacterized protein
7668.SPU_009524-tr	SPU_009524-tr	1283	Uncharacterized protein
7668.SPU_009525-tr	LOC588004	675	Uncharacterized protein
7668.SPU_009526-tr	NCKX	652	Testis potassium dependent sodium/calcium exchanger; Uncharacterized protein ; Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family
7668.SPU_009527-tr	SPU_009527-tr	415	Uncharacterized protein; Belongs to the tumor necrosis factor family
7668.SPU_009528-tr	LOC576628	345	Uncharacterized protein; Belongs to the tumor necrosis factor family
7668.SPU_009529-tr	SPU_009529-tr	92	Uncharacterized protein
7668.SPU_009530-tr	LOC590948	711	Uncharacterized protein
7668.SPU_009531-tr	LOC589827	899	Uncharacterized protein
7668.SPU_009532-tr	LOC579506	379	Uncharacterized protein
7668.SPU_009533-tr	SPU_009533-tr	400	Uncharacterized protein
7668.SPU_009534-tr	SPU_009534-tr	620	Uncharacterized protein; Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
7668.SPU_009535-tr	LOC589412	157	Uncharacterized protein
7668.SPU_009536-tr	SPU_009536-tr	1144	Uncharacterized protein
7668.SPU_009537-tr	SPU_009537-tr	82	Uncharacterized protein
7668.SPU_009538-tr	SPU_009538-tr	529	Uncharacterized protein
7668.SPU_009539-tr	SPU_009539-tr	140	Uncharacterized protein
7668.SPU_009540-tr	LOC589853	567	Uncharacterized protein
7668.SPU_009541-tr	SPU_009541-tr	299	Uncharacterized protein
7668.SPU_009542-tr	SPU_009542-tr	455	Uncharacterized protein
7668.SPU_009543-tr	SPU_009543-tr	958	Uncharacterized protein
7668.SPU_009544-tr	SPU_009544-tr	107	Actin-related protein 8; Plays an important role in the functional organization of mitotic chromosomes. Exhibits low basal ATPase activity, and unable to polymerize; Belongs to the actin family. ARP8 subfamily
7668.SPU_009545-tr	SPU_009545-tr	205	Uncharacterized protein
7668.SPU_009546-tr	LOC579955	107	Uncharacterized protein
7668.SPU_009547-tr	LOC592456	268	Uncharacterized protein
7668.SPU_009548-tr	SPU_009548-tr	283	Uncharacterized protein; Belongs to the peptidase C19 family
7668.SPU_009549-tr	LOC578747	297	Uncharacterized protein
7668.SPU_009550-tr	SPU_009550-tr	662	Uncharacterized protein
7668.SPU_009551-tr	SPU_009551-tr	594	Uncharacterized protein
7668.SPU_009552-tr	SPU_009552-tr	534	Uncharacterized protein
7668.SPU_009553-tr	LOC763076	755	Uncharacterized protein
7668.SPU_009554-tr	SPU_009554-tr	980	Uncharacterized protein
7668.SPU_009555-tr	LOC586291	366	Uncharacterized protein
7668.SPU_009556-tr	SPU_009556-tr	335	Uncharacterized protein; Belongs to the G-protein coupled receptor 2 family
7668.SPU_009557-tr	SPU_009557-tr	100	Uncharacterized protein
7668.SPU_009558-tr	SPU_009558-tr	584	Ubiquitinyl hydrolase 1
7668.SPU_009559-tr	SPU_009559-tr	517	Uncharacterized protein
7668.SPU_009560-tr	LOC576309	123	Uncharacterized protein
7668.SPU_009561-tr	SPU_009561-tr	419	Uncharacterized protein
7668.SPU_009562-tr	SPU_009562-tr	304	Uncharacterized protein
7668.SPU_009563-tr	SPU_009563-tr	452	Uncharacterized protein
7668.SPU_009564-tr	SPU_009564-tr	261	Amino acid transporter
7668.SPU_009565-tr	SPU_009565-tr	103	Histone H4 
7668.SPU_009566-tr	SPU_009566-tr	89	Uncharacterized protein
7668.SPU_009567-tr	SPU_009567-tr	338	Uncharacterized protein
7668.SPU_009568-tr	SPU_009568-tr	501	Uncharacterized protein
7668.SPU_009569-tr	LOC754060	90	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
7668.SPU_009570-tr	SPU_009570-tr	479	Uncharacterized protein
7668.SPU_009571-tr	SPU_009571-tr	755	Uncharacterized protein
7668.SPU_009572-tr	SPU_009572-tr	273	Uncharacterized protein
7668.SPU_009573-tr	SPU_009573-tr	1166	Uncharacterized protein
7668.SPU_009574-tr	SPU_009574-tr	1515	Uncharacterized protein
7668.SPU_009575-tr	SPU_009575-tr	1521	Uncharacterized protein
7668.SPU_009576-tr	SPU_009576-tr	834	Uncharacterized protein
7668.SPU_009577-tr	SPU_009577-tr	613	Uncharacterized protein
7668.SPU_009578-tr	SPU_009578-tr	521	Uncharacterized protein
7668.SPU_009579-tr	LOC578496	180	Uncharacterized protein
7668.SPU_009580-tr	LOC578557	339	Uncharacterized protein
7668.SPU_009581-tr	SPU_009581-tr	315	Uncharacterized protein
7668.SPU_009582-tr	SPU_009582-tr	671	Uncharacterized protein
7668.SPU_009583-tr	SPU_009583-tr	391	Uncharacterized protein
7668.SPU_009584-tr	SPU_009584-tr	672	Uncharacterized protein
7668.SPU_009585-tr	SPU_009585-tr	428	Uncharacterized protein
7668.SPU_009586-tr	SPU_009586-tr	207	Uncharacterized protein
7668.SPU_009587-tr	SPU_009587-tr	357	Uncharacterized protein
7668.SPU_009588-tr	LOC594178	228	Uncharacterized protein
7668.SPU_009589-tr	SPU_009589-tr	128	Uncharacterized protein
7668.SPU_009590-tr	LOC583691	335	DNA repair protein RAD51 homolog; Binds to single and double-stranded DNA and exhibits DNA-dependent ATPase activity. Underwinds duplex DNA
7668.SPU_009591-tr	SPU_009591-tr	1299	Uncharacterized protein
7668.SPU_009592-tr	LOC590941	190	Uncharacterized protein; Belongs to the TCTP family
7668.SPU_009593-tr	SLBP	525	Uncharacterized protein
7668.SPU_009594-tr	SPU_009594-tr	461	Uncharacterized protein
7668.SPU_009595-tr	LOC589494	973	Uncharacterized protein; Belongs to the DHHC palmitoyltransferase family
7668.SPU_009596-tr	SPU_009596-tr	120	Uncharacterized protein
7668.SPU_009597-tr	LOC762961	424	Uncharacterized protein
7668.SPU_009598-tr	SPU_009598-tr	286	Uncharacterized protein
7668.SPU_009599-tr	SPU_009599-tr	872	Uncharacterized protein; Belongs to the transient receptor (TC 1.A.4) family
7668.SPU_009600-tr	PLXNA2	1596	Uncharacterized protein
7668.SPU_009601-tr	SPU_009601-tr	237	Uncharacterized protein; Belongs to the peptidase C1 family
7668.SPU_009602-tr	SPU_009602-tr	766	Uncharacterized protein; Belongs to the membrane-bound acyltransferase family
7668.SPU_009603-tr	SPU_009603-tr	342	Uncharacterized protein
7668.SPU_009604-tr	SPU_009604-tr	72	Uncharacterized protein
7668.SPU_009605-tr	SPU_009605-tr	277	Uncharacterized protein
7668.SPU_009606-tr	LOC578226	292	Uncharacterized protein
7668.SPU_009607-tr	SPU_009607-tr	429	Uncharacterized protein
7668.SPU_009608-tr	SPU_009608-tr	1097	Uncharacterized protein
7668.SPU_009609-tr	LOC588071	518	Uncharacterized protein
7668.SPU_009610-tr	SPU_009610-tr	668	Uncharacterized protein
7668.SPU_009611-tr	SPU_009611-tr	132	Uncharacterized protein
7668.SPU_009612-tr	SPU_009612-tr	115	Uncharacterized protein
7668.SPU_009613-tr	SPU_009613-tr	605	Uncharacterized protein
7668.SPU_009614-tr	SPU_009614-tr	140	Uncharacterized protein
7668.SPU_009615-tr	SPU_009615-tr	291	Uncharacterized protein
7668.SPU_009616-tr	SPU_009616-tr	64	Uncharacterized protein
7668.SPU_009617-tr	SPU_009617-tr	229	Flavin-containing monooxygenase
7668.SPU_009618-tr	SPU_009618-tr	247	Uncharacterized protein
7668.SPU_009619-tr	LOC578347	476	Uncharacterized protein
7668.SPU_009620-tr	LOC578475	123	Uncharacterized protein
7668.SPU_009621-tr	SPU_009621-tr	143	Uncharacterized protein
7668.SPU_009622-tr	SPU_009622-tr	211	Uncharacterized protein
7668.SPU_009623-tr	SPU_009623-tr	333	Uncharacterized protein
7668.SPU_009624-tr	SPU_009624-tr	55	Uncharacterized protein
7668.SPU_009625-tr	LOC589285	98	Uncharacterized protein
7668.SPU_009626-tr	SPU_009626-tr	271	Uncharacterized protein
7668.SPU_009627-tr	SPU_009627-tr	946	Uncharacterized protein
7668.SPU_009628-tr	SPU_009628-tr	535	Uncharacterized protein; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
7668.SPU_009629-tr	LOC585620	497	Uncharacterized protein
7668.SPU_009630-tr	SPU_009630-tr	630	Uncharacterized protein
7668.SPU_009631-tr	LOC587094	186	Uncharacterized protein
7668.SPU_009632-tr	SPU_009632-tr	2028	Uncharacterized protein
7668.SPU_009633-tr	SPU_009633-tr	266	Uncharacterized protein
7668.SPU_009634-tr	SPU_009634-tr	659	Uncharacterized protein
7668.SPU_009635-tr	SPU_009635-tr	95	Uncharacterized protein
7668.SPU_009636-tr	SPU_009636-tr	419	Uncharacterized protein
7668.SPU_009637-tr	SPU_009637-tr	797	Uncharacterized protein
7668.SPU_009638-tr	LOC585547	2027	Uncharacterized protein
7668.SPU_009639-tr	SPU_009639-tr	44	Uncharacterized protein
7668.SPU_009640-tr	SPU_009640-tr	808	Uncharacterized protein
7668.SPU_009641-tr	LOC579012	511	Uncharacterized protein
7668.SPU_009642-tr	LOC578691	2129	Uncharacterized protein
7668.SPU_009643-tr	LOC578520	128	Uncharacterized protein
7668.SPU_009644-tr	LOC578392	364	Uncharacterized protein
7668.SPU_009645-tr	LOC578454	536	Uncharacterized protein
7668.SPU_009646-tr	SPU_009646-tr	966	Uncharacterized protein
7668.SPU_009647-tr	LOC764713	591	Uncharacterized protein
7668.SPU_009648-tr	SPU_009648-tr	578	Uncharacterized protein
7668.SPU_009649-tr	LOC590379	695	Uncharacterized protein
7668.SPU_009650-tr	LOC590360	1041	Uncharacterized protein
7668.SPU_009651-tr	SPU_009651-tr	171	Uncharacterized protein
7668.SPU_009652-tr	SPU_009652-tr	240	Uncharacterized protein
7668.SPU_009653-tr	SPU_009653-tr	660	Uncharacterized protein; Belongs to the peptidase C14A family
7668.SPU_009654-tr	SPU_009654-tr	493	Uncharacterized protein
7668.SPU_009655-tr	SPU_009655-tr	258	Uncharacterized protein
7668.SPU_009656-tr	SPU_009656-tr	137	Uncharacterized protein
7668.SPU_009657-tr	LOC577583	260	Uncharacterized protein
7668.SPU_009658-tr	LOC574947	366	Uncharacterized protein
7668.SPU_009659-tr	SPU_009659-tr	1164	Uncharacterized protein
7668.SPU_009660-tr	SPU_009660-tr	391	Uncharacterized protein
7668.SPU_009661-tr	SPU_009661-tr	139	Uncharacterized protein
7668.SPU_009662-tr	SPU_009662-tr	310	Uncharacterized protein
7668.SPU_009663-tr	SPU_009663-tr	276	Uncharacterized protein
7668.SPU_009664-tr	SPU_009664-tr	186	Uncharacterized protein
7668.SPU_009665-tr	SPU_009665-tr	297	Uncharacterized protein
7668.SPU_009666-tr	SPU_009666-tr	131	Uncharacterized protein
7668.SPU_009667-tr	SPU_009667-tr	1278	Uncharacterized protein
7668.SPU_009668-tr	SPU_009668-tr	258	Uncharacterized protein
7668.SPU_009669-tr	SPU_009669-tr	246	Uncharacterized protein
7668.SPU_009670-tr	ttc18	198	Uncharacterized protein
7668.SPU_009671-tr	SPU_009671-tr	322	Uncharacterized protein
7668.SPU_009672-tr	SPU_009672-tr	452	Uncharacterized protein
7668.SPU_009673-tr	SPU_009673-tr	626	Uncharacterized protein; Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family
7668.SPU_009674-tr	SPU_009674-tr	691	Uncharacterized protein; Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family
7668.SPU_009675-tr	SPU_009675-tr	497	Uncharacterized protein
7668.SPU_009676-tr	SPU_009676-tr	303	Uncharacterized protein
7668.SPU_009677-tr	SPU_009677-tr	492	Uncharacterized protein
7668.SPU_009678-tr	SPU_009678-tr	326	Uncharacterized protein
7668.SPU_009679-tr	SPU_009679-tr	112	Uncharacterized protein
7668.SPU_009680-tr	SPU_009680-tr	235	Uncharacterized protein
7668.SPU_009681-tr	LOC582022	863	Uncharacterized protein
7668.SPU_009682-tr	SPU_009682-tr	2088	Uncharacterized protein
7668.SPU_009683-tr	LOC581918	1028	Uncharacterized protein
7668.SPU_009684-tr	SPU_009684-tr	155	Uncharacterized protein
7668.SPU_009685-tr	SPU_009685-tr	767	Uncharacterized protein
7668.SPU_009686-tr	LOC590756	184	Uncharacterized protein
7668.SPU_009687-tr	SPU_009687-tr	173	Uncharacterized protein
7668.SPU_009688-tr	SPU_009688-tr	261	Uncharacterized protein
7668.SPU_009689-tr	SPU_009689-tr	143	Uncharacterized protein
7668.SPU_009690-tr	SPU_009690-tr	261	Uncharacterized protein
7668.SPU_009691-tr	LOC578345	2465	Phosphoinositide phospholipase C
7668.SPU_009692-tr	SPU_009692-tr	360	Uncharacterized protein
7668.SPU_009693-tr	SPU_009693-tr	135	Uncharacterized protein
7668.SPU_009694-tr	LOC577079	170	Uncharacterized protein; Belongs to the glycosyl hydrolase 1 family
7668.SPU_009695-tr	LOC753547	112	Uncharacterized protein
7668.SPU_009696-tr	SPU_009696-tr	87	Uncharacterized protein
7668.SPU_009697-tr	SPU_009697-tr	64	Uncharacterized protein
7668.SPU_009698-tr	LOC583137	377	Uncharacterized protein
7668.SPU_009699-tr	SPU_009699-tr	630	Uncharacterized protein
7668.SPU_009700-tr	LOC594523	116	Uncharacterized protein
7668.SPU_009701-tr	SPU_009701-tr	178	Uncharacterized protein
7668.SPU_009702-tr	LOC583589	2055	Uncharacterized protein
7668.SPU_009703-tr	LOC589638	340	Uncharacterized protein
7668.SPU_009704-tr	SPU_009704-tr	247	Uncharacterized protein
7668.SPU_009705-tr	SPU_009705-tr	818	Uncharacterized protein
7668.SPU_009706-tr	LOC762989	212	Uncharacterized protein
7668.SPU_009707-tr	LOC592274	563	Uncharacterized protein
7668.SPU_009708-tr	LOC592222	666	Uncharacterized protein
7668.SPU_009709-tr	LOC592239	442	Uncharacterized protein
7668.SPU_009710-tr	LOC592251	508	Uncharacterized protein
7668.SPU_009711-tr	LOC592295	643	Uncharacterized protein
7668.SPU_009712-tr	SPU_009712-tr	219	Uncharacterized protein
7668.SPU_009713-tr	LOC580224	374	Uncharacterized protein
7668.SPU_009714-tr	LOC578574	818	Uncharacterized protein
7668.SPU_009715-tr	SPU_009715-tr	762	Uncharacterized protein
7668.SPU_009716-tr	SPU_009716-tr	517	Uncharacterized protein
7668.SPU_009717-tr	SPU_009717-tr	194	Uncharacterized protein
7668.SPU_009718-tr	SPU_009718-tr	262	Uncharacterized protein
7668.SPU_009719-tr	SPU_009719-tr	348	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_009720-tr	SPU_009720-tr	286	Uncharacterized protein
7668.SPU_009721-tr	SPU_009721-tr	744	Uncharacterized protein
7668.SPU_009722-tr	LOC575996	469	Uncharacterized protein
7668.SPU_009723-tr	SPU_009723-tr	944	Uncharacterized protein
7668.SPU_009724-tr	SPU_009724-tr	222	Uncharacterized protein
7668.SPU_009725-tr	SPU_009725-tr	188	Uncharacterized protein
7668.SPU_009726-tr	LOC591637	417	Uncharacterized protein
7668.SPU_009727-tr	LOC591612	303	Uncharacterized protein
7668.SPU_009728-tr	SPU_009728-tr	89	Uncharacterized protein
7668.SPU_009729-tr	SPU_009729-tr	219	Uncharacterized protein
7668.SPU_009730-tr	SPU_009730-tr	220	Uncharacterized protein
7668.SPU_009731-tr	SPU_009731-tr	206	Uncharacterized protein; Belongs to the cullin family
7668.SPU_009732-tr	SPU_009732-tr	219	Uncharacterized protein
7668.SPU_009733-tr	LOC587227	79	Uncharacterized protein
7668.SPU_009734-tr	LOC762357	287	Protein YIPF
7668.SPU_009735-tr	LOC581363	390	Uncharacterized protein
7668.SPU_009736-tr	SPU_009736-tr	1213	Uncharacterized protein; Belongs to the DOCK family
7668.SPU_009737-tr	LOC583455	688	Uncharacterized protein
7668.SPU_009738-tr	LOC583479	220	GTP:AMP phosphotransferase, mitochondrial; Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates. Has GTP:AMP phosphotransferase and ITP:AMP phosphotransferase activities
7668.SPU_009739-tr	LOC585279	688	Uncharacterized protein
7668.SPU_009740-tr	SPU_009740-tr	296	Uncharacterized protein
7668.SPU_009741-tr	SPU_009741-tr	181	Uncharacterized protein
7668.SPU_009742-tr	LOC593693	921	Uncharacterized protein
7668.SPU_009743-tr	LOC588008	591	Uncharacterized protein
7668.SPU_009744-tr	SPU_009744-tr	432	Uncharacterized protein
7668.SPU_009745-tr	SPU_009745-tr	88	Uncharacterized protein
7668.SPU_009746-tr	SPU_009746-tr	415	Uncharacterized protein
7668.SPU_009747-tr	LOC594361	262	Uncharacterized protein
7668.SPU_009748-tr	SPU_009748-tr	170	Uncharacterized protein
7668.SPU_009749-tr	SPU_009749-tr	126	Uncharacterized protein
7668.SPU_009750-tr	SPU_009750-tr	273	Uncharacterized protein
7668.SPU_009751-tr	SPU_009751-tr	269	Uncharacterized protein
7668.SPU_009752-tr	SPU_009752-tr	186	Uncharacterized protein
7668.SPU_009753-tr	SPU_009753-tr	423	Uncharacterized protein
7668.SPU_009754-tr	SPU_009754-tr	385	Uncharacterized protein
7668.SPU_009755-tr	SPU_009755-tr	322	Uncharacterized protein
7668.SPU_009756-tr	LOC589376	231	Uncharacterized protein
7668.SPU_009757-tr	SPU_009757-tr	960	Uncharacterized protein
7668.SPU_009758-tr	LOC592317	346	Uncharacterized protein
7668.SPU_009759-tr	LOC755681	87	Uncharacterized protein
7668.SPU_009760-tr	SPU_009760-tr	118	Uncharacterized protein; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
7668.SPU_009761-tr	LOC590262	338	Uncharacterized protein
7668.SPU_009762-tr	SPU_009762-tr	490	Vang-like protein
7668.SPU_009763-tr	SPU_009763-tr	369	Uncharacterized protein
7668.SPU_009764-tr	SPU_009764-tr	123	Uncharacterized protein
7668.SPU_009765-tr	SPU_009765-tr	459	Uncharacterized protein; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
7668.SPU_009766-tr	LOC587513	413	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_009767-tr	SPU_009767-tr	444	Uncharacterized protein
7668.SPU_009768-tr	SPU_009768-tr	152	Uncharacterized protein
7668.SPU_009769-tr	LOC583153	164	Uncharacterized protein
7668.SPU_009770-tr	SPU_009770-tr	348	Uncharacterized protein
7668.SPU_009771-tr	FoxG	507	Uncharacterized protein
7668.SPU_009772-tr	LOC583727	508	Uncharacterized protein
7668.SPU_009773-tr	LOC583786	382	Uncharacterized protein
7668.SPU_009774-tr	SPU_009774-tr	865	Uncharacterized protein
7668.SPU_009775-tr	LOC578298	322	Uncharacterized protein
7668.SPU_009776-tr	SPU_009776-tr	1567	Uncharacterized protein
7668.SPU_009777-tr	SPU_009777-tr	4586	Uncharacterized protein
7668.SPU_009778-tr	LOC585598	565	Uncharacterized protein
7668.SPU_009779-tr	SPU_009779-tr	123	Histone H2B; Belongs to the histone H2B family
7668.SPU_009780-tr	SPU_009780-tr	346	Uncharacterized protein
7668.SPU_009781-tr	SPU_009781-tr	449	Uncharacterized protein
7668.SPU_009782-tr	SPU_009782-tr	145	Uncharacterized protein
7668.SPU_009783-tr	SPU_009783-tr	121	Uncharacterized protein
7668.SPU_009784-tr	SPU_009784-tr	575	Uncharacterized protein
7668.SPU_009785-tr	SPU_009785-tr	579	Uncharacterized protein
7668.SPU_009786-tr	SPU_009786-tr	628	Uncharacterized protein
7668.SPU_009787-tr	SPU_009787-tr	376	Uncharacterized protein
7668.SPU_009788-tr	SPU_009788-tr	271	Uncharacterized protein
7668.SPU_009789-tr	SPU_009789-tr	253	Uncharacterized protein
7668.SPU_009790-tr	SPU_009790-tr	424	Uncharacterized protein
7668.SPU_009791-tr	SPU_009791-tr	608	Uncharacterized protein
7668.SPU_009792-tr	SPU_009792-tr	1256	Uncharacterized protein
7668.SPU_009793-tr	SPU_009793-tr	152	Uncharacterized protein
7668.SPU_009794-tr	SPU_009794-tr	1175	Uncharacterized protein
7668.SPU_009795-tr	SPU_009795-tr	497	Uncharacterized protein
7668.SPU_009796-tr	SPU_009796-tr	284	Uncharacterized protein
7668.SPU_009797-tr	LOC752879	990	Uncharacterized protein
7668.SPU_009798-tr	LOC577536	242	Uncharacterized protein
7668.SPU_009799-tr	SPU_009799-tr	343	Uncharacterized protein
7668.SPU_009800-tr	SPU_009800-tr	59	Uncharacterized protein
7668.SPU_009801-tr	SPU_009801-tr	362	Uncharacterized protein
7668.SPU_009802-tr	SPU_009802-tr	701	Uncharacterized protein
7668.SPU_009803-tr	SPU_009803-tr	691	Uncharacterized protein
7668.SPU_009804-tr	SPU_009804-tr	121	Uncharacterized protein
7668.SPU_009805-tr	SPU_009805-tr	1001	Uncharacterized protein
7668.SPU_009806-tr	SPU_009806-tr	411	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_009807-tr	SPU_009807-tr	398	Uncharacterized protein; Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family
7668.SPU_009808-tr	SPU_009808-tr	1863	Uncharacterized protein
7668.SPU_009809-tr	LOC585718	346	Uncharacterized protein
7668.SPU_009810-tr	LOC585672	385	Uncharacterized protein
7668.SPU_009811-tr	SPU_009811-tr	312	Uncharacterized protein
7668.SPU_009812-tr	LOC585652	231	Uncharacterized protein
7668.SPU_009813-tr	SPU_009813-tr	615	Uncharacterized protein
7668.SPU_009814-tr	SPU_009814-tr	770	Uncharacterized protein
7668.SPU_009815-tr	SPU_009815-tr	97	Uncharacterized protein
7668.SPU_009816-tr	SPU_009816-tr	240	Uncharacterized protein
7668.SPU_009817-tr	LOC590178	1279	annotation not available
7668.SPU_009818-tr	dscam	1699	Uncharacterized protein
7668.SPU_009819-tr	SPU_009819-tr	214	Uncharacterized protein
7668.SPU_009820-tr	SPU_009820-tr	86	Uncharacterized protein
7668.SPU_009821-tr	SPU_009821-tr	43	Uncharacterized protein
7668.SPU_009822-tr	SPU_009822-tr	442	Uncharacterized protein
